,Distance (nm),Fe %,Fe % Err,Mn %,Mn % Err,Cr %,Cr % Err,C %,C % Err,Ni %,Ni % Err,Al %,Al % Err,Cu %,Cu % Err,Error Sum
0,-4.9,56.63287134594886,0.0397331461989585,17.393127245438713,0.03039031895765114,5.488596531277469,0.01826043377603599,2.0668164108091007,0.011406547605191884,5.864328720330629,0.018837557696798016,10.649024333316676,0.02473106902966492,1.861491598273291,0.010836489063599967,99.95625618539474
1,-4.8,56.640561944380934,0.03901468570996023,17.462300574830593,0.029888176758282422,5.4857848629390835,0.01792629196518415,2.0478998625391625,0.011150227998000136,5.841062534450463,0.018462870177106627,10.624639810788642,0.024259873050459294,1.8539542156826883,0.010619606370871238,99.95620380561157
2,-4.8,56.7545376524473,0.0383569932751792,17.413500090550706,0.02936104817768672,5.461346842778792,0.017592541083802846,2.0153228582359763,0.010879912119098677,5.8229499860276075,0.01813084563200112,10.649865108541233,0.023883262325751286,1.8385990666681056,0.010401306177696953,99.95612160524972
3,-4.7,56.71798595466907,0.03771925163764955,17.40912329686805,0.028867117839398687,5.504752043236549,0.017362921492767896,2.0248869893213097,0.010722775612116417,5.828376826331994,0.017835396798149366,10.644896452779816,0.02347898607538679,1.8262015483202176,0.010193447420049535,99.95622311152701
4,-4.6,56.761215168058996,0.03713940501639284,17.354815712714686,0.02839168310751667,5.516643090548039,0.017115416056095442,2.0242477943772643,0.010557558589075986,5.838069172107165,0.01757699606412462,10.652825669846978,0.023128378216663803,1.8082395723464495,0.009989364664227769,99.95605617999958
5,-4.5,56.828375172117035,0.03659035132642948,17.364344301674517,0.02798322057744987,5.49168639337532,0.016829555049980915,2.034999257518715,0.010430433617322949,5.790917270114691,0.017254597414707088,10.663383361058012,0.022800639324018806,1.7825010263711882,0.009774489684486236,99.95620678222949
6,-4.4,56.73878189137354,0.03614089847948509,17.438925777205448,0.027679427387062285,5.528207983740158,0.0166706614926661,2.053614253553248,0.010345779352659073,5.778621480090691,0.017021444776087087,10.62492950908946,0.02247919717505667,1.7930330323296388,0.009679989000488812,99.95611392738218
7,-4.3,56.80409368988752,0.035710138730939575,17.414481089526127,0.02733931598690022,5.5241095869044745,0.016469183337580313,2.0534416828489057,0.010223890782585624,5.786508821595036,0.01683237054370005,10.599165481034687,0.022191519858827974,1.77456125984907,0.009517829296455942,99.9563616116458
8,-4.2,56.84430044037261,0.03528466555875236,17.39129551819306,0.027002398041610226,5.519147544845485,0.016267895183065293,2.0669641134576056,0.010135718466031963,5.773608739005673,0.016616265233686336,10.596412045754883,0.021927057466075248,1.764626441625221,0.009379588890286963,99.95635484325454
9,-4.1,56.827060898851116,0.03492508959639158,17.44754609999627,0.026760011439767622,5.5593051738930415,0.016156376609527776,2.0109670119244494,0.009897951762929645,5.767255635825572,0.01643764680612832,10.585348560077039,0.021692572091279515,1.7588003431854071,0.009268495069767088,99.9562837237529
10,-4.0,56.821868693407744,0.03458167971644114,17.452357755926204,0.02649938512076012,5.5583024430394685,0.01599592599701266,2.0473413867523305,0.009886888891936181,5.722823124176543,0.016216788511422445,10.595387578304921,0.021487940513253145,1.758235542513529,0.009175780399680521,99.95631652412075
11,-3.9,56.892525601707185,0.03431439597445691,17.420074042339,0.02628056544480021,5.564990691875131,0.0158844139797724,2.0293921573524583,0.009770197714369766,5.701922910666977,0.01606699103468117,10.594828563393904,0.021325574971421176,1.7525498882832895,0.009092185775248913,99.95628385561795
